Cell_No,Xi,A,V_j,ratio_Vj_VT,G_J
0,0.5,0.12,0,0,0
1,52.78,12.9,340.31,0.03,19.07
2,74.64,18.24,680.62,0.05,1.42
3,91.41,22.34,1020.93,0.08,0.83
4,105.55,25.79,1361.24,0.1,0.59
5,118.01,28.84,1701.56,0.13,0.46
6,129.27,31.59,2041.87,0.15,0.37
7,139.63,34.12,2382.18,0.18,0.32
8,149.27,36.48,2722.49,0.2,0.27
9,158.33,38.69,3062.8,0.23,0.24
10,166.89,40.78,3403.11,0.25,0.22
11,175.04,42.77,3743.42,0.275,0.2
12,182.82,44.68,4083.73,0.3,0.18
13,190.29,46.5,4424.04,0.33,0.16
14,197.47,48.25,4764.35,0.35,0.15
15,204.4,49.95,5104.67,0.38,0.14
16,211.1,51.59,5444.98,0.4,0.13
17,217.6,53.17,5785.29,0.43,0.12
18,223.91,54.72,6125.6,0.45,0.12
19,230.04,56.21,6465.91,0.48,0.11
20,236.02,57.68,6806.22,0.5,0.11
21,242,56.21,7146.53,0.53,0.11
22,248.13,54.72,7486.84,0.55,0.11
23,254.44,53.17,7827.15,0.58,0.12
24,260.94,51.59,8167.46,0.6,0.12
25,267.64,49.95,8507.78,0.63,0.13
26,274.57,48.25,8848.09,0.65,0.14
27,281.75,46.5,9188.4,0.68,0.15
28,289.22,44.68,9528.71,0.7,0.16
29,297,42.77,9869.02,0.73,0.18
30,305.15,40.78,10209.33,0.75,0.2
31,313.71,38.69,10549.64,0.78,0.22
32,322.77,36.48,10889.95,0.8,0.24
33,332.41,34.12,11230.26,0.83,0.27
34,342.77,31.59,11570.57,0.85,0.32
35,354.03,28.84,11910.88,0.88,0.37
36,366.49,25.79,12251.2,0.9,0.46
37,380.63,22.34,12591.51,0.93,0.59
38,397.4,18.24,12931.82,0.95,0.83
39,419.26,12.9,13272.13,0.98,1.42
40,471.54,0.12,13612.44,1,19.07
